InspectionID,VehicleID,Date,Model,Shift,Station,Result,Defect,ReworkMinutes,UpdatedAt
DEMO-00694-1,DEMO-00694,2026-08-24,Compact B,A,Body,PASS,None,0,2026-08-24T16:00:00
DEMO-00543-2,DEMO-00543,2026-08-19,Compact A,C,Paint,PASS,None,0,2026-08-19T16:00:00
DEMO-00519-3,DEMO-00519,2026-08-18,Compact A,C,Final,FAIL,Function check,26,2026-08-18T16:00:00
DEMO-00330-1,DEMO-00330,2026-08-11,Compact B,C,Body,PASS,None,0,2026-08-11T16:00:00
DEMO-00398-1,DEMO-00398,2026-08-14,Compact B,B,Body,PASS,None,0,2026-08-14T16:00:00
DEMO-00393-1,DEMO-00393,2026-08-14,Compact A,C,Body,PASS,None,0,2026-08-14T16:00:00
DEMO-00424-3,DEMO-00424,2026-08-15,Compact B,A,Final,PASS,None,0,2026-08-15T16:00:00
DEMO-00167-1,DEMO-00167,2026-08-06,Compact A,B,Body,PASS,None,0,2026-08-06T16:00:00
DEMO-00751-3,DEMO-00751,2026-08-26,Compact A,A,Final,PASS,None,0,2026-08-26T16:00:00
DEMO-00754-3,DEMO-00754,2026-08-26,Compact B,A,Final,PASS,None,0,2026-08-26T16:00:00
DEMO-00036-3,DEMO-00036,2026-08-02,Compact B,C,Final,FAIL,Function check,47,2026-08-02T16:00:00
DEMO-00112-2,DEMO-00112,2026-08-04,Compact B,A,Paint,PASS,None,0,2026-08-04T16:00:00
DEMO-00653-2,DEMO-00653,2026-08-22,Compact A,B,Paint,FAIL,Paint finish,28,2026-08-22T16:00:00
DEMO-00830-3,DEMO-00830,2026-08-28,Compact B,B,Final,PASS,None,0,2026-08-28T16:00:00
DEMO-00616-2,DEMO-00616,2026-08-21,Compact B,A,Paint,PASS,None,0,2026-08-21T16:00:00
DEMO-00043-1,DEMO-00043,2026-08-02,Compact A,A,Body,PASS,None,0,2026-08-02T16:00:00
BAD-RESULT,DEMO-00001,2026-08-01,Compact A,A,Body,UNKNOWN,None,0,2026-08-01T16:00:00
DEMO-00536-2,DEMO-00536,2026-08-18,Compact B,B,Paint,PASS,None,0,2026-08-18T16:00:00
DEMO-00075-3,DEMO-00075,2026-08-03,Compact A,C,Final,PASS,None,0,2026-08-03T16:00:00
DEMO-00274-3,DEMO-00274,2026-08-10,Compact B,A,Final,PASS,None,0,2026-08-10T16:00:00
DEMO-00310-1,DEMO-00310,2026-08-11,Compact B,A,Body,PASS,None,0,2026-08-11T16:00:00
DEMO-00247-2,DEMO-00247,2026-08-09,Compact A,A,Paint,PASS,None,0,2026-08-09T16:00:00
DEMO-00510-1,DEMO-00510,2026-08-17,Compact B,C,Body,PASS,None,0,2026-08-17T16:00:00
DEMO-00190-3,DEMO-00190,2026-08-07,Compact B,A,Final,PASS,None,0,2026-08-07T16:00:00
DEMO-00472-1,DEMO-00472,2026-08-16,Compact B,A,Body,PASS,None,0,2026-08-16T16:00:00
DEMO-00239-2,DEMO-00239,2026-08-08,Compact A,B,Paint,PASS,None,0,2026-08-08T16:00:00
DEMO-00099-3,DEMO-00099,2026-08-04,Compact A,C,Final,PASS,None,0,2026-08-04T16:00:00
DEMO-00006-3,DEMO-00006,2026-08-01,Compact B,C,Final,PASS,None,0,2026-08-01T16:00:00
DEMO-00783-1,DEMO-00783,2026-08-27,Compact A,C,Body,PASS,None,0,2026-08-27T16:00:00
DEMO-00584-3,DEMO-00584,2026-08-20,Compact B,B,Final,PASS,None,0,2026-08-20T16:00:00
DEMO-00547-2,DEMO-00547,2026-08-19,Compact A,A,Paint,PASS,None,0,2026-08-19T16:00:00
DEMO-00403-3,DEMO-00403,2026-08-14,Compact A,A,Final,PASS,None,0,2026-08-14T16:00:00
DEMO-00652-3,DEMO-00652,2026-08-22,Compact B,A,Final,PASS,None,0,2026-08-22T16:00:00
DEMO-00096-2,DEMO-00096,2026-08-04,Compact B,C,Paint,FAIL,Paint finish,10,2026-08-04T16:00:00
DEMO-00276-2,DEMO-00276,2026-08-10,Compact B,C,Paint,PASS,None,0,2026-08-10T16:00:00
DEMO-00214-2,DEMO-00214,2026-08-08,Compact B,A,Paint,PASS,None,0,2026-08-08T16:00:00
DEMO-00660-2,DEMO-00660,2026-08-22,Compact B,C,Paint,FAIL,Paint finish,26,2026-08-22T16:00:00
DEMO-00502-1,DEMO-00502,2026-08-17,Compact B,A,Body,PASS,None,0,2026-08-17T16:00:00
DEMO-00688-1,DEMO-00688,2026-08-23,Compact B,A,Body,PASS,None,0,2026-08-23T16:00:00
DEMO-00025-3,DEMO-00025,2026-08-01,Compact A,A,Final,PASS,None,0,2026-08-01T16:00:00
DEMO-00162-3,DEMO-00162,2026-08-06,Compact B,C,Final,FAIL,Fit and finish,14,2026-08-06T16:00:00
DEMO-00557-1,DEMO-00557,2026-08-19,Compact A,B,Body,PASS,None,0,2026-08-19T16:00:00
DEMO-00701-3,DEMO-00701,2026-08-24,Compact A,B,Final,PASS,None,0,2026-08-24T16:00:00
DEMO-00023-3,DEMO-00023,2026-08-01,Compact A,B,Final,FAIL,Function check,49,2026-08-01T16:00:00
DEMO-00173-3,DEMO-00173,2026-08-06,Compact A,B,Final,PASS,None,0,2026-08-06T16:00:00
